"iyear","imonth","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1970","1","24","0","0.0000","0","0","3","0.1250","2","0"
"1970","2","33","48","1.4545","47","0","15","0.4545","7","0"
"1970","3","35","0","0.0000","0","0","21","0.6000","17","0"
"1970","4","53","36","0.6792","36","0","10","0.1887","5","0"
"1970","5","51","0","0.0000","0","0","40","0.7843","12","0"
"1970","6","29","2","0.0690","1","0","38","1.3103","20","0"
"1970","7","43","4","0.0930","2","0","3","0.0698","3","0"
"1970","8","21","7","0.3333","4","0","15","0.7143","7","0"
"1970","9","19","3","0.1579","2","0","2","0.1053","2","0"
"1970","10","26","0","0.0000","0","0","5","0.1923","2","0"
"1970","11","20","0","0.0000","0","0","1","0.0500","1","0"
"1970","12","18","0","0.0000","0","0","4","0.2222","3","0"
"1971","1","24","0","0.0000","0","0","2","0.0833","2","0"
"1971","2","13","0","0.0000","0","0","0","0.0000","0","0"
"1971","3","24","0","0.0000","0","0","0","0.0000","0","0"
"1971","4","39","9","0.2308","3","0","0","0.0000","0","0"
"1971","5","17","1","0.0588","1","0","6","0.3529","3","0"
"1971","6","17","1","0.0588","1","0","0","0.0000","0","0"
"1971","7","14","0","0.0000","0","0","0","0.0000","0","0"
"1971","8","16","1","0.0625","1","0","2","0.1250","2","0"
"1971","9","6","1","0.1667","1","0","11","1.8333","11","0"
"1971","10","6","0","0.0000","0","0","0","0.0000","0","0"
"1971","11","9","0","0.0000","0","0","27","3.0000","27","0"
"1971","12","5","0","0.0000","0","0","3","0.6000","3","0"
"1972","0","1","0","0.0000","0","0","0","0.0000","0","0"
"1972","1","7","29","4.1429","26","0","3","0.4286","3","0"
"1972","2","9","15","1.6667","7","0","37","4.1111","19","0"
"1972","3","12","2","0.1667","1","0","58","4.8333","56","0"
"1972","4","2","0","0.0000","0","0","1","0.5000","1","0"
"1972","5","16","26","1.6250","26","0","101","6.3125","72","0"
"1972","6","5","82","16.4000","81","0","0","0.0000","0","0"
"1972","7","1","0","0.0000","0","0","0","0.0000","0","0"
"1972","8","8","0","0.0000","0","0","14","1.7500","4","0"
"1972","9","78","2","0.0256","1","0","1","0.0128","1","0"
"1972","10","8","4","0.5000","2","0","3","0.3750","3","0"
"1972","11","3","1","0.3333","1","0","2","0.6667","2","0"
"1972","12","11","2","0.1818","2","0","2","0.1818","2","0"
"1973","1","10","21","2.1000","8","0","23","2.3000","20","0"
"1973","2","3","2","0.6667","2","0","2","0.6667","2","0"
"1973","3","8","1","0.1250","1","0","2","0.2500","2","0"
"1973","4","10","3","0.3000","1","0","1","0.1000","1","0"
"1973","5","9","4","0.4444","2","0","0","0.0000","0","0"
"1973","6","6","4","0.6667","1","0","0","0.0000","0","0"
"1973","7","8","1","0.1250","1","0","0","0.0000","0","0"
"1973","8","5","6","1.2000","5","0","63","12.6000","55","0"
"1973","9","14","5","0.3571","2","0","4","0.2857","2","0"
"1973","10","8","6","0.7500","4","0","16","2.0000","15","0"
"1973","11","10","4","0.4000","1","0","1","0.1000","1","0"
"1973","12","16","36","2.2500","30","0","71","4.4375","50","0"
"1974","0","2","0","0.0000","0","0","0","0.0000","0","0"
"1974","1","15","6","0.4000","2","0","9","0.6000","5","0"
"1974","2","13","12","0.9231","12","0","25","1.9231","14","0"
"1974","3","17","0","0.0000","0","0","1","0.0588","1","0"
"1974","4","10","1","0.1000","1","0","1","0.1000","1","0"
"1974","5","12","36","3.0000","25","0","176","14.6667","102","0"
"1974","6","18","11","0.6111","7","0","24","1.3333","11","0"
"1974","7","9","1","0.1111","1","0","45","5.0000","41","0"
"1974","8","11","3","0.2727","3","0","40","3.6364","36","0"
"1974","9","14","104","7.4286","88","0","78","5.5714","70","0"
"1974","10","18","7","0.3889","5","0","30","1.6667","25","0"
"1974","11","15","24","1.6000","11","0","198","13.2000","81","0"
"1974","12","26","3","0.1154","2","0","89","3.4231","54","0"
"1975","1","10","12","1.2000","4","0","65","6.5000","53","0"
"1975","2","16","1","0.0625","1","0","5","0.3125","4","0"
"1975","3","20","27","1.3500","27","0","100","5.0000","100","0"
"1975","4","20","4","0.2000","3","0","17","0.8500","13","0"
"1975","5","19","2","0.1053","1","0","0","0.0000","0","0"
"1975","6","19","1","0.0526","1","0","48","2.5263","45","0"
"1975","7","12","5","0.4167","1","0","8","0.6667","4","0"
"1975","8","18","3","0.1667","1","0","43","2.3889","33","0"
"1975","9","20","4","0.2000","2","0","51","2.5500","40","0"
"1975","10","33","41","1.2424","26","0","64","1.9394","18","0"
"1975","11","13","18","1.3846","9","0","66","5.0769","62","0"
"1975","12","25","14","0.5600","11","0","91","3.6400","74","0"
"1976","1","20","21","1.0500","10","0","12","0.6000","8","0"
"1976","2","19","11","0.5789","8","0","22","1.1579","19","0"
"1976","3","18","4","0.2222","2","0","0","0.0000","0","0"
"1976","4","22","12","0.5455","8","0","31","1.4091","22","0"
"1976","5","28","20","0.7143","16","0","21","0.7500","14","0"
"1976","6","15","12","0.8000","7","0","39","2.6000","34","0"
"1976","7","36","26","0.7222","25","0","38","1.0556","30","0"
"1976","8","22","36","1.6364","30","0","34","1.5455","17","0"
"1976","9","25","17","0.6800","9","0","38","1.5200","34","0"
"1976","10","28","79","2.8214","73","0","14","0.5000","7","0"
"1976","11","22","9","0.4091","9","0","13","0.5909","5","0"
"1976","12","26","14","0.5385","10","0","307","11.8077","285","0"
"1977","0","3","0","0.0000","0","0","0","0.0000","0","0"
"1977","1","23","17","0.7391","9","0","8","0.3478","2","0"
"1977","2","19","2","0.1053","1","0","2","0.1053","1","0"
"1977","3","37","1","0.0270","1","0","24","0.6486","9","0"
"1977","4","13","1","0.0769","1","0","0","0.0000","0","0"
"1977","5","29","9","0.3103","5","0","86","2.9655","42","0"
"1977","6","52","5","0.0962","2","0","32","0.6154","16","0"
"1977","7","52","0","0.0000","0","0","27","0.5192","23","0"
"1977","8","63","3","0.0476","1","0","2","0.0317","2","0"
"1977","9","42","7","0.1667","2","0","51","1.2143","16","0"
"1977","10","74","29","0.3919","13","0","54","0.7297","12","0"
"1977","11","28","8","0.2857","3","0","28","1.0000","16","0"
"1977","12","59","11","0.1864","9","0","19","0.3220","9","0"
"1978","1","61","7","0.1148","4","0","14","0.2295","3","0"
"1978","2","70","41","0.5857","14","0","140","2.0000","43","0"
"1978","3","50","55","1.1000","42","0","172","3.4400","76","0"
"1978","4","38","6","0.1579","2","0","36","0.9474","20","0"
"1978","5","43","13","0.3023","5","0","14","0.3256","5","0"
"1978","6","41","24","0.5854","17","0","14","0.3415","7","0"
"1978","7","32","5","0.1563","2","0","13","0.4063","3","0"
"1978","8","43","140","3.2558","98","0","269","6.2558","160","0"
"1978","9","51","43","0.8431","10","0","44","0.8627","12","0"
"1978","10","43","38","0.8837","14","0","70","1.6279","15","0"
"1978","11","41","53","1.2927","34","0","111","2.7073","37","0"
"1978","12","76","11","0.1447","3","0","173","2.2763","60","0"
"1979","1","108","141","1.3056","19","0","182","1.6852","55","0"
"1979","2","99","157","1.5859","54","0","167","1.6869","78","0"
"1979","3","76","44","0.5789","22","0","183","2.4079","60","0"
"1979","4","82","37","0.4512","4","0","143","1.7439","33","0"
"1979","5","135","109","0.8074","27","0","206","1.5259","40","0"
"1979","6","71","30","0.4225","5","0","151","2.1268","38","0"
"1979","7","69","56","0.8116","9","0","322","4.6667","60","0"
"1979","8","80","145","1.8125","50","0","106","1.3250","18","0"
"1979","9","58","47","0.8103","7","0","75","1.2931","30","0"
"1979","10","84","62","0.7381","11","0","84","1.0000","19","0"
"1979","11","54","61","1.1296","8","0","69","1.2778","12","0"
"1979","12","70","57","0.8143","7","0","63","0.9000","9","0"
"1980","1","70","71","1.0143","20","0","60","0.8571","20","0"
"1980","2","56","71","1.2679","16","0","174","3.1071","78","0"
"1980","3","79","265","3.3544","30","0","247","3.1266","60","0"
"1980","4","112","208","1.8571","19","0","197","1.7589","40","0"
"1980","5","59","195","3.3051","50","0","73","1.2373","18","0"
"1980","6","87","170","1.9540","40","0","285","3.2759","100","0"
"1980","7","68","115","1.6912","32","0","132","1.9412","34","0"
"1980","8","51","465","9.1176","300","0","60","1.1765","21","0"
"1980","9","78","80","1.0256","11","0","232","2.9744","80","0"
"1980","10","68","89","1.3088","16","0","140","2.0588","20","0"
"1980","11","64","165","2.5781","22","0","98","1.5313","22","0"
"1980","12","54","45","0.8333","7","0","53","0.9815","22","0"
"1981","1","68","357","5.2500","87","0","124","1.8235","75","0"
"1981","2","63","280","4.4444","50","0","136","2.1587","23","0"
"1981","3","75","406","5.4133","100","0","124","1.6533","16","0"
"1981","4","64","216","3.3750","29","0","263","4.1094","161","0"
"1981","5","76","187","2.4605","34","0","95","1.2500","26","0"
"1981","6","60","270","4.5000","74","0","227","3.7833","50","0"
"1981","7","61","247","4.0492","50","0","70","1.1475","20","0"
"1981","8","78","179","2.2949","35","0","189","2.4231","56","0"
"1981","9","66","264","4.0000","32","0","93","1.4091","30","0"
"1981","10","76","233","3.0658","54","0","45","0.5921","8","0"
"1981","11","85","190","2.2353","30","0","61","0.7176","12","0"
"1981","12","86","374","4.3488","70","0","132","1.5349","12","0"
"1982","1","77","448","5.8182","48","0","53","0.6883","12","0"
"1982","2","54","332","6.1481","80","0","62","1.1481","24","0"
"1982","3","71","278","3.9155","60","0","145","2.0423","43","0"
"1982","4","67","230","3.4328","30","0","66","0.9851","9","0"
"1982","5","89","234","2.6292","30","0","128","1.4382","20","0"
"1982","6","49","68","1.3878","10","0","14","0.2857","4","0"
"1982","7","75","266","3.5467","41","0","44","0.5867","15","0"
"1982","8","60","209","3.4833","41","0","138","2.3000","50","0"
"1982","9","59","55","0.9322","20","0","135","2.2881","100","0"
"1982","10","77","137","1.7792","26","0","142","1.8442","37","0"
"1982","11","47","123","2.6170","24","0","32","0.6809","10","0"
"1982","12","54","78","1.4444","13","0","49","0.9074","20","0"
"1983","1","97","365","3.7629","75","0","111","1.1443","21","0"
"1983","2","53","265","5.0000","30","0","185","3.4906","75","0"
"1983","3","72","352","4.8889","70","0","78","1.0833","17","0"
"1983","4","74","654","8.8378","120","0","53","0.7162","10","0"
"1983","5","80","774","9.6750","120","0","77","0.9625","15","0"
"1983","6","78","231","2.9615","40","0","106","1.3590","21","0"
"1983","7","60","221","3.6833","77","0","482","8.0333","319","0"
"1983","8","76","398","5.2368","42","0","295","3.8816","133","0"
"1983","9","69","372","5.3913","49","0","202","2.9275","48","0"
"1983","10","83","571","6.8795","165","0","213","2.5663","30","0"
"1983","11","70","259","3.7000","108","0","154","2.2000","68","0"
"1983","12","53","177","3.3396","35","0","195","3.6792","34","0"
"1984","1","113","215","1.9027","65","0","67","0.5929","15","0"
"1984","2","75","301","4.0133","45","0","50","0.6667","14","0"
"1984","3","104","399","3.8365","45","0","217","2.0865","50","0"
"1984","4","104","327","3.1442","60","0","309","2.9712","70","0"
"1984","5","113","222","1.9646","40","0","156","1.3805","45","0"
"1984","6","74","224","3.0270","46","0","71","0.9595","28","0"
"1984","7","125","880","7.0400","180","0","144","1.1520","40","0"
"1984","8","132","789","5.9773","250","0","134","1.0152","25","0"
"1984","9","119","824","6.9244","93","0","191","1.6050","50","0"
"1984","10","66","365","5.5303","80","0","130","1.9697","34","0"
"1984","11","90","602","6.6889","111","0","183","2.0333","32","0"
"1984","12","72","197","2.7361","50","0","62","0.8611","15","0"
"1985","1","68","419","6.1618","94","0","112","1.6471","14","0"
"1985","2","76","240","3.1579","75","0","161","2.1184","60","0"
"1985","3","73","177","2.4247","22","0","150","2.0548","24","0"
"1985","4","60","208","3.4667","60","0","186","3.1000","82","0"
"1985","5","199","465","2.3367","60","0","364","1.8291","200","0"
"1985","6","109","245","2.2477","62","0","108","0.9908","24","0"
"1985","7","137","368","2.6861","41","0","100","0.7299","30","0"
"1985","8","124","219","1.7661","26","0","136","1.0968","44","0"
"1985","9","101","137","1.3564","30","0","225","2.2277","68","0"
"1985","10","86","275","3.1977","52","0","146","1.6977","60","0"
"1985","11","95","469","4.9368","97","0","280","2.9474","40","0"
"1985","12","77","315","4.0909","70","0","226","2.9351","81","0"
"1986","1","96","59","0.6146","10","0","56","0.5833","16","0"
"1986","2","86","149","1.7326","40","0","162","1.8837","30","0"
"1986","3","121","264","2.1818","44","0","285","2.3554","80","0"
"1986","4","88","123","1.3977","25","0","395","4.4886","230","0"
"1986","5","94","276","2.9362","45","0","384","4.0851","114","0"
"1986","6","168","181","1.0774","19","0","372","2.2143","68","0"
"1986","7","90","159","1.7667","41","0","173","1.9222","27","0"
"1986","8","76","99","1.3026","17","0","124","1.6316","18","0"
"1986","9","90","116","1.2889","16","0","427","4.7444","90","0"
"1986","10","84","109","1.2976","22","0","156","1.8571","70","0"
"1986","11","61","154","2.5246","27","0","122","2.0000","39","0"
"1986","12","47","72","1.5319","19","0","45","0.9574","13","0"
"1987","1","73","100","1.3699","13","0","161","2.2055","50","0"
"1987","2","94","198","2.1064","80","0","141","1.5000","58","0"
"1987","3","70","263","3.7571","70","0","248","3.5429","130","0"
"1987","4","105","158","1.5048","15","0","159","1.5143","40","0"
"1987","5","78","132","1.6923","18","0","200","2.5641","34","0"
"1987","6","104","216","2.0769","32","0","240","2.3077","45","0"
"1987","7","122","575","4.7131","388","0","649","5.3197","300","0"
"1987","8","86","57","0.6628","11","0","208","2.4186","45","0"
"1987","9","70","84","1.2000","15","0","57","0.8143","30","0"
"1987","10","102","184","1.8039","20","0","119","1.1667","18","0"
"1987","11","151","144","0.9536","63","0","134","0.8874","78","0"
"1987","12","71","118","1.6620","24","0","133","1.8732","40","0"
"1988","1","124","224","1.8065","24","0","229","1.8468","71","0"
"1988","2","126","214","1.6984","37","0","109","0.8651","15","0"
"1988","3","135","252","1.8667","32","0","385","2.8519","60","0"
"1988","4","103","275","2.6699","52","0","265","2.5728","125","0"
"1988","5","123","274","2.2276","26","0","267","2.1707","75","0"
"1988","6","143","290","2.0280","32","0","196","1.3706","49","0"
"1988","7","160","247","1.5438","20","0","242","1.5125","59","0"
"1988","8","92","157","1.7065","40","0","222","2.4130","28","0"
"1988","9","93","116","1.2473","15","0","242","2.6022","40","0"
"1988","10","131","224","1.7099","45","0","268","2.0458","70","0"
"1988","11","121","227","1.8760","43","0","350","2.8926","100","0"
"1988","12","116","338","2.9138","270","0","211","1.8190","50","0"
"1989","1","150","484","3.2267","84","0","295","1.9667","80","0"
"1989","2","152","208","1.3684","17","0","197","1.2961","38","0"
"1989","3","121","220","1.8182","36","0","165","1.3636","50","0"
"1989","4","139","198","1.4245","21","0","160","1.1511","34","0"
"1989","5","202","543","2.6881","51","0","247","1.2228","80","0"
"1989","6","184","312","1.6957","40","0","190","1.0326","44","0"
"1989","7","110","164","1.4909","18","0","229","2.0818","49","0"
"1989","8","149","207","1.3893","16","0","261","1.7517","57","0"
"1989","9","236","471","1.9958","171","0","322","1.3644","30","0"
"1989","10","165","313","1.8970","27","0","167","1.0121","26","0"
"1989","11","186","426","2.2903","107","0","164","0.8817","36","0"
"1989","12","119","131","1.1008","15","0","100","0.8403","25","0"
"1990","1","118","183","1.5508","39","0","127","1.0763","28","0"
"1990","2","127","177","1.3937","19","0","178","1.4016","36","0"
"1990","3","198","361","1.8232","50","0","101","0.5101","30","0"
"1990","4","163","357","2.1902","24","0","394","2.4172","109","0"
"1990","5","168","132","0.7857","21","0","279","1.6607","50","0"
"1990","6","174","315","1.8103","34","0","240","1.3793","30","0"
"1990","7","170","334","1.9647","72","0","147","0.8647","27","0"
"1990","8","221","900","4.0724","112","0","506","2.2896","100","0"
"1990","9","197","318","1.6142","35","0","543","2.7563","150","0"
"1990","10","141","200","1.4184","20","0","123","0.8723","27","0"
"1990","11","97","194","2.0000","25","0","66","0.6804","15","0"
"1990","12","59","141","2.3898","96","0","129","2.1864","50","0"
"1991","1","160","104","0.6500","23","0","45","0.2813","7","0"
"1991","2","143","206","1.4406","22","0","389","2.7203","176","0"
"1991","3","155","270","1.7419","30","0","223","1.4387","38","0"
"1991","4","143","377","2.6364","54","0","174","1.2168","45","0"
"1991","5","178","284","1.5955","34","0","234","1.3146","50","0"
"1991","6","106","124","1.1698","60","0","205","1.9340","50","0"
"1991","7","191","450","2.3560","200","0","202","1.0576","20","0"
"1991","8","209","451","2.1579","50","0","449","2.1483","100","0"
"1991","9","212","473","2.2311","130","0","277","1.3066","50","0"
"1991","10","291","552","1.8969","100","0","444","1.5258","100","0"
"1991","11","236","542","2.2966","65","0","385","1.6314","52","0"
"1991","12","214","516","2.4112","47","0","543","2.5374","70","0"
"1992","1","188","329","1.7500","47","0","328","1.7447","50","0"
"1992","2","161","267","1.6584","15","0","310","1.9255","70","0"
"1992","3","300","616","2.0533","50","0","638","2.1267","220","0"
"1992","4","158","855","5.4114","200","0","727","4.6013","300","0"
"1992","5","223","508","2.2780","30","0","454","2.0359","85","0"
"1992","6","151","327","2.1656","39","0","238","1.5762","30","0"
"1992","7","160","265","1.6563","18","0","347","2.1688","100","0"
"1992","8","173","311","1.7977","30","0","329","1.9017","100","0"
"1992","9","282","517","1.8333","52","0","336","1.1915","55","0"
"1992","10","297","859","2.8923","84","0","511","1.7205","61","0"
"1992","11","320","433","1.3531","38","0","1298","4.0563","800","0"
"1992","12","247","447","1.8097","89","0","551","2.2308","100","0"
"1994","1","157","221","1.4076","16","0","308","1.9618","40","0"
"1994","2","211","359","1.7014","48","0","563","2.6682","100","0"
"1994","3","244","437","1.7910","77","0","425","1.7418","173","0"
"1994","4","208","1808","8.6923","1180","0","438","2.1058","92","0"
"1994","5","149","259","1.7383","34","0","113","0.7584","23","0"
"1994","6","148","306","2.0676","70","0","335","2.2635","100","0"
"1994","7","148","352","2.3784","85","0","596","4.0270","236","0"
"1994","8","120","124","1.0333","30","0","327","2.7250","100","0"
"1994","9","135","260","1.9259","40","0","363","2.6889","76","0"
"1994","10","145","370","2.5517","54","0","653","4.5034","300","0"
"1994","11","137","293","2.1387","25","0","369","2.6934","45","0"
"1994","12","126","236","1.8730","48","0","172","1.3651","30","0"
"1995","1","140","256","1.8286","43","0","761","5.4357","286","0"
"1995","2","164","207","1.2622","14","0","321","1.9573","100","0"
"1995","3","162","256","1.5802","25","0","403","2.4877","60","0"
